Date,AAPL,GOOGL,MSFT
2022-01-03,178.2703094482422,143.90419006347656,323.89837646484375
2022-01-04,176.0077667236328,143.316650390625,318.3445129394531
2022-01-05,171.32598876953125,136.74180603027344,306.1238708496094
2022-01-06,168.46600341796875,136.71450805664062,303.7049865722656
2022-01-07,168.63250732421875,135.98951721191406,303.8597412109375
2022-01-10,168.652099609375,137.62960815429688,304.08233642578125
2022-01-11,171.48269653320312,138.6881103515625,304.769287109375
2022-01-12,171.92347717285156,140.36990356445312,307.9526062011719
2022-01-13,168.652099609375,137.54774475097656,294.9192810058594
2022-01-14,169.51406860351562,138.43453979492188,300.1441955566406
2022-01-18,166.31121826171875,134.9781494140625,292.83892822265625
2022-01-19,162.81454467773438,134.103271484375,293.49688720703125
2022-01-20,161.1298828125,132.30780029296875,291.8229675292969
2022-01-21,159.07302856445312,129.37399291992188,286.43359375
2022-01-24,158.29922485351562,129.82308959960938,286.7626037597656
2022-01-25,156.49705505371094,125.98310852050781,279.13800048828125
2022-01-26,156.40890502929688,128.2638702392578,287.09149169921875
2022-01-27,155.94859313964844,128.03756713867188,290.12005615234375
2022-01-28,166.83029174804688,132.3509979248047,298.26708984375
2022-01-31,171.18887329101562,134.28884887695312,300.8989562988281
2022-02-01,171.02243041992188,136.61180114746094,298.7508850097656
2022-02-02,172.2270965576172,146.89013671875,303.29852294921875
2022-02-03,169.34750366210938,142.01693725585938,291.484375
2022-02-04,169.0631103515625,142.21841430664062,296.0223693847656
2022-02-07,168.34719848632812,138.15713500976562,291.1941223144531
2022-02-08,171.4560089111328,138.3536376953125,294.6870422363281
2022-02-09,172.87803649902344,140.5301971435547,301.1214294433594
2022-02-10,168.79830932617188,137.58045959472656,292.5777587890625
2022-02-11,165.38548278808594,133.2755126953125,285.4757080078125
2022-02-14,165.620849609375,134.50967407226562,285.4369812011719
2022-02-15,169.45541381835938,135.5840606689453,290.72967529296875
2022-02-16,169.2200469970703,136.70510864257812,290.39031982421875
2022-02-17,165.620849609375,131.54507446289062,281.8871154785156
2022-02-18,164.07131958007812,129.42510986328125,279.1722106933594
2022-02-22,161.14883422851562,128.8400421142578,278.96856689453125
2022-02-23,156.9808807373047,126.63121032714844,271.74517822265625
2022-02-24,159.59933471679688,131.69593811035156,285.629638671875
2022-02-25,161.66864013671875,133.45120239257812,288.26690673828125
2022-02-28,161.9333953857422,134.04420471191406,289.7019348144531
2022-03-01,160.05044555664062,133.05615234375,285.9787292480469
2022-03-02,163.34559631347656,133.5623321533203,291.0592956542969
2022-03-03,163.02197265625,132.8953857421875,286.9191589355469
2022-03-04,160.02102661132812,130.91732788085938,281.04351806640625
2022-03-07,156.2257537841797,125.4307861328125,270.42657470703125
2022-03-08,154.40162658691406,126.1513442993164,267.4596862792969
2022-03-09,159.80528259277344,132.4194793701172,279.72491455078125
2022-03-10,155.46078491210938,131.4364013671875,276.9033508300781
2022-03-11,151.743896484375,128.89659118652344,271.5513610839844
2022-03-14,147.71319580078125,125.0064926147461,268.03167724609375
2022-03-15,152.09693908691406,128.22914123535156,278.4159240722656
2022-03-16,156.51011657714844,132.28103637695312,285.43572998046875
2022-03-17,157.52027893066406,132.83534240722656,286.2404479980469
2022-03-18,160.8154296875,135.10470581054688,291.29205322265625
2022-03-21,162.18838500976562,135.0808868408203,290.0606689453125
2022-03-22,165.56201171875,138.819091796875,294.81158447265625
2022-03-23,166.92520141601562,137.23855590820312,290.3805847167969
2022-03-24,170.71066284179688,140.51034545898438,294.8503723144531
2022-03-25,171.34812927246094,140.610595703125,294.44317626953125
2022-03-28,172.21115112304688,140.3947296142578,301.2496337890625
2022-03-29,175.50634765625,141.4368438720703,305.8163146972656
2022-03-30,174.33929443359375,140.87411499023438,304.31353759765625
2022-03-31,171.2403106689453,138.02462768554688,298.9323425292969
2022-04-01,170.94601440429688,139.0994873046875,300.0085754394531
2022-04-04,174.996337890625,141.8993377685547,305.3897399902344
2022-04-05,171.6815643310547,139.53671264648438,301.42413330078125
2022-04-06,168.51394653320312,135.52401733398438,290.39031982421875
2022-04-07,168.81793212890625,134.86947631835938,292.20343017578125
2022-04-08,166.80751037597656,132.2879638671875,287.9372253417969
2022-04-11,162.55123901367188,127.8574447631836,276.5833740234375
2022-04-12,164.42437744140625,126.75675964355469,273.48077392578125
2022-04-13,167.11148071289062,128.919921875,278.87164306640625
2022-04-14,162.10011291503906,125.77965545654297,271.3186340332031
2022-04-18,161.88436889648438,126.71903991699219,271.98760986328125
2022-04-19,164.1693878173828,129.03404235839844,276.6221923828125
2022-04-20,164.00267028808594,127.0798110961914,277.6499938964844
2022-04-21,163.2083282470703,123.87850952148438,272.2687683105469
2022-04-22,158.6676788330078,118.73834991455078,265.69500732421875
2022-04-25,159.7366180419922,122.15106201171875,272.1815185546875
2022-04-26,153.77395629882812,117.76023864746094,262.0008544921875
2022-04-27,153.5484161376953,113.43739318847656,274.6054382324219
2022-04-28,160.48196411132812,117.6336898803711,280.82049560546875
2022-04-29,154.60751342773438,113.2537841796875,269.0788269042969
2022-05-02,154.91156005859375,115.70873260498047,275.8174743652344
2022-05-03,156.40223693847656,116.4541015625,273.2092590332031
2022-05-04,162.81602478027344,121.34416198730469,281.1598205566406
2022-05-05,153.7445526123047,115.6318130493164,268.91400146484375
2022-05-06,154.47134399414062,114.87850952148438,266.3736877441406
2022-05-09,149.34454345703125,111.66727447509766,256.5324401855469
2022-05-10,151.75079345703125,113.5371322631836,261.302734375
2022-05-11,143.8838348388672,112.75057983398438,252.62496948242188
2022-05-12,140.01419067382812,111.9977798461914,247.58319091796875
2022-05-13,144.4829559326172,115.18023681640625,253.1776885986328
2022-05-16,142.9409942626953,113.5867691040039,253.54612731933594
2022-05-17,146.57493591308594,115.59956359863281,258.70428466796875
2022-05-18,138.3052978515625,111.06036376953125,246.9256134033203
2022-05-19,134.89724731445312,109.55622100830078,246.0120391845703
2022-05-20,135.1329803466797,108.0912857055664,245.44837951660156
2022-05-23,140.5543975830078,110.65193939208984,253.31053161621094
2022-05-24,137.85348510742188,105.17532348632812,252.30958557128906
2022-05-25,138.01058959960938,105.01155853271484,255.1279296875
2022-05-26,141.21240234375,106.98416137695312,258.4127197265625
2022-05-27,146.9677734375,111.47422790527344,265.5460205078125
2022-05-31,146.18203735351562,112.90889739990234,264.2146911621094
2022-06-01,146.0543670654297,113.03791809082031,264.7491455078125
2022-06-02,148.50975036621094,116.74042510986328,266.84832763671875
2022-06-03,142.78384399414062,113.68203735351562,262.4167175292969
2022-06-06,143.53024291992188,115.9444580078125,261.1824951171875
2022-06-07,146.0543670654297,116.27098083496094,264.826904296875
2022-06-08,145.31777954101562,116.31515502929688,262.79583740234375
2022-06-09,140.09275817871094,113.9743423461914,257.3340759277344
2022-06-10,134.68116760253906,110.32788848876953,245.86630249023438
2022-06-13,129.52491760253906,105.59465789794922,235.4384307861328
2022-06-14,130.3892059326172,105.91523742675781,237.60562133789062
2022-06-15,133.01153564453125,108.94137573242188,244.6708984375
2022-06-16,127.73739624023438,105.23834228515625,238.07212829589844
2022-06-17,129.2106170654297,106.34002685546875,240.67662048339844
2022-06-21,133.44366455078125,110.70752716064453,246.5951690673828
2022-06-22,132.93295288085938,110.65144348144531,246.00234985351562
2022-06-23,135.80079650878906,111.4002914428711,251.5709686279297
2022-06-24,139.13026428222656,117.09030151367188,260.16204833984375
2022-06-27,139.13026428222656,114.9648666381836,257.4312438964844
2022-06-28,134.98562622070312,111.16754150390625,249.2580108642578
2022-06-29,136.74365234375,110.86383819580078,252.93154907226562
2022-06-30,134.27850341796875,108.1458740234375,249.59814453125
2022-07-01,136.4490203857422,107.92208099365234,252.27069091796875
2022-07-05,139.03204345703125,112.41362762451172,255.4486083984375
2022-07-06,140.36776733398438,113.71282196044922,258.7139892578125
2022-07-07,143.73648071289062,117.89224243164062,260.84234619140625
2022-07-08,144.4141845703125,118.45845794677734,260.1231689453125
2022-07-11,142.28294372558594,114.80902862548828,257.0618896484375
2022-07-12,143.2552947998047,113.16545867919922,246.52711486816406
2022-07-13,142.89186096191406,110.51844787597656,245.6038818359375
2022-07-14,145.8186492919922,109.53984832763672,246.9256134033203
2022-07-15,147.48831176757812,110.93927764892578,249.49124145507812
2022-07-18,144.44366455078125,108.2123794555664,247.09078979492188
2022-07-19,148.30348205566406,112.95652770996094,252.2221221923828
2022-07-20,150.30703735351562,113.04586029052734,254.8849639892578
2022-07-21,152.57582092285156,113.48255920410156,257.38262939453125
2022-07-22,151.3383026123047,107.09085845947266,253.0287322998047
2022-07-25,150.2186737060547,106.70378112792969,251.54185485839844
2022-07-26,148.8927459716797,104.2324447631836,244.8069610595703
2022-07-27,153.9900665283203,112.212158203125,261.17279052734375
2022-07-28,154.54006958007812,113.36347198486328,268.6268005371094
2022-07-29,159.60791015625,115.44772338867188,272.8349304199219
2022-08-01,158.62579345703125,113.9986572265625,270.1817932128906
2022-08-02,157.15255737304688,114.2666244506836,267.0815734863281
2022-08-03,163.16326904296875,117.19451904296875,274.5161437988281
2022-08-04,162.8489990234375,117.30368041992188,275.6629638671875
2022-08-05,162.622802734375,116.58908081054688,274.94378662109375
2022-08-08,162.1506805419922,116.42035675048828,272.4267272949219
2022-08-09,162.19989013671875,115.75537109375,274.35089111328125
2022-08-10,166.44862365722656,118.80236053466797,281.0177917480469
2022-08-11,165.7110137939453,117.94881439208984,278.9380798339844
2022-08-12,169.261474609375,120.76750946044922,283.6902770996094
2022-08-15,170.33348083496094,121.16451263427734,285.2064208984375
2022-08-16,170.17613220214844,120.787353515625,284.4678039550781
2022-08-17,171.6710662841797,118.65348815917969,283.7178955078125
2022-08-18,171.2776336669922,119.26883697509766,282.59796142578125
2022-08-19,168.69102478027344,116.33103942871094,278.6827697753906
2022-08-22,164.8061981201172,113.38331604003906,270.5019836425781
2022-08-23,164.47178649902344,113.00615692138672,269.2262268066406
2022-08-24,164.76681518554688,112.83743286132812,268.5931701660156
